Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Credit Score Outlier,Credit Score NaN,Current Loan Amount Outlier,Maximum Open Credit Outlier,Annual Income NaN,Years in current job NaN,Bankruptcies NaN,Home Ownership Outlier,Years of Credit History Outlier,Monthly Debt Outlier,Home Ownership_Home Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Purpose_business,Purpose_educational expenses,Purpose_entertainment,Purpose_needs,Purpose_other,Purpose_purchase,Purpose_renewable energy,Years in current Cat,Credit Score Cat,Monthly Income,Monthly Inc Debt Diff,Current Loan and Monthly Income Diff
Home Mortgage,852017.0,7,3.0,12.0,7.6,337722.0,3.0,0.0,needs,,175384.0,160417.0,21868.0,727.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3.0,71001.41666666667,49133.41666666667,104382.58333333333
Rent,709821.0,10,0.0,13.0,23.7,339724.0,0.0,0.0,needs,,246004.0,198341.0,14670.0,670.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0.0,59151.75,44481.75,186852.25
Rent,1350349.0,10,0.0,20.0,15.0,763422.0,0.0,0.0,needs,,241230.0,306584.0,9014.0,721.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2.0,112529.08333333333,103515.08333333333,128700.91666666667
Own Home,1168386.0,4,0.0,22.0,10.9,625042.0,0.0,0.0,needs,,326810.0,300675.0,13844.0,740.0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4.0,97365.5,83521.5,229444.5
Home Mortgage,1168386.0,10,0.0,10.0,9.4,348678.0,0.0,0.0,needs,,191136.0,165927.0,12031.0,740.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4.0,97365.5,85334.5,93770.5
Home Mortgage,1334256.0,10,0.0,17.0,15.4,99999999.0,1.0,0.0,entertainment,,33110.0,656450.0,34357.0,729.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,3,3.0,111188.0,76831.0,-78078.0
Home Mortgage,1168386.0,10,0.0,10.0,21.4,1104554.0,1.0,1.0,needs,,774092.0,595251.0,28897.0,740.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4.0,97365.5,68468.5,676726.5
Home Mortgage,1721457.0,10,0.0,6.0,27.3,309573.0,0.0,0.0,needs,,309573.0,121353.0,23527.0,723.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2.0,143454.75,119927.75,166118.25
Own Home,1168386.0,5,0.0,18.0,18.0,1447468.0,0.0,0.0,needs,,215490.0,612541.0,24039.0,740.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4.0,97365.5,73326.5,118124.5
Home Mortgage,1168386.0,8,0.0,14.0,18.7,323796.0,0.0,0.0,needs,,323796.0,94696.0,25005.0,740.0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4.0,97365.5,72360.5,226430.5
Rent,1168386.0,5,0.0,8.0,17.0,355344.0,0.0,0.0,needs,,355344.0,108300.0,19012.0,740.0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4.0,97365.5,78353.5,257978.5
Rent,665931.0,3,0.0,6.0,22.2,279642.0,0.0,0.0,needs,,220308.0,181127.0,9379.0,716.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0,55494.25,46115.25,164813.75
Home Mortgage,1521672.0,3,0.0,12.0,10.4,900878.0,0.0,0.0,needs,,132154.0,242744.0,20416.0,742.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0,126806.0,106390.0,5348.0
Rent,916560.0,3,0.0,8.0,9.5,564168.0,0.0,0.0,needs,,265320.0,183198.0,13137.0,744.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0,76380.0,63243.0,188940.0
Home Mortgage,2276808.0,10,0.0,19.0,34.4,1685794.0,0.0,0.0,needs,,768922.0,267881.0,13889.0,707.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2.0,189734.0,175845.0,579188.0
Home Mortgage,1168386.0,10,0.0,7.0,17.6,293766.0,1.0,1.0,needs,,175516.0,149948.0,3767.0,740.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4.0,97365.5,93598.5,78150.5
Rent,1168386.0,6,0.0,7.0,18.0,130328.0,0.0,0.0,business,,130328.0,39235.0,18351.0,740.0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4.0,97365.5,79014.5,32962.5
Rent,1520969.0,10,0.0,7.0,19.2,468138.0,0.0,0.0,needs,,468138.0,2774.0,12865.0,748.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4.0,126747.41666666667,113882.41666666667,341390.5833333333
Rent,719549.0,2,0.0,7.0,16.3,71258.0,1.0,0.0,needs,,71258.0,27569.0,12592.0,722.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2.0,59962.416666666664,47370.416666666664,11295.583333333336
Home Mortgage,992845.0,10,0.0,17.0,21.2,1132054.0,0.0,0.0,needs,,207812.0,294291.0,25483.0,739.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4.0,82737.08333333333,57254.08333333333,125074.91666666667
Rent,1168386.0,0,0.0,9.0,10.7,642092.0,0.0,0.0,needs,,312026.0,296685.0,13006.0,740.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0,97365.5,84359.5,214660.5
Home Mortgage,1630029.0,10,0.0,10.0,17.3,697114.0,0.0,0.0,needs,,230362.0,260680.0,6181.0,714.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2.0,135835.75,129654.75,94526.25
Home Mortgage,866476.0,1,0.0,15.0,12.9,309573.0,0.0,0.0,needs,,309573.0,130891.0,11770.0,701.0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.0,72206.33333333333,60436.33333333333,237366.6666666667
Home Mortgage,1670860.0,6,0.0,8.0,16.0,333564.0,0.0,0.0,needs,,333564.0,122569.0,23949.0,705.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2.0,139238.33333333334,115289.33333333334,194325.66666666666
Rent,573762.0,1,0.0,7.0,16.6,197120.0,0.0,0.0,needs,,177166.0,114741.0,12671.0,735.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.0,47813.5,35142.5,129352.5
Rent,1168386.0,0,0.0,10.0,15.6,697642.0,0.0,0.0,needs,,156508.0,398259.0,28077.0,740.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0,97365.5,69288.5,59142.5
Rent,1280125.0,10,0.0,8.0,13.3,362934.0,0.0,0.0,needs,,318582.0,204991.0,16428.0,741.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4.0,106677.08333333333,90249.08333333333,211904.9166666667
Home Mortgage,1168386.0,10,0.0,11.0,11.3,693418.0,1.0,1.0,needs,,266398.0,147915.0,21461.0,740.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4.0,97365.5,75904.5,169032.5
Rent,1269333.0,0,0.0,7.0,15.8,309573.0,0.0,0.0,needs,,309573.0,171874.0,5183.0,747.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0,105777.75,100594.75,203795.25
Rent,2157773.0,4,0.0,10.0,22.2,660374.0,0.0,0.0,needs,,482152.0,494475.0,39559.0,743.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4.0,179814.41666666666,140255.41666666666,302337.5833333334
Home Mortgage,1408527.0,2,0.0,12.0,17.5,700062.0,0.0,0.0,other,,525998.0,174135.0,9320.0,647.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,117377.25,108057.25,408620.75
Home Mortgage,613966.0,6,0.0,5.0,16.3,148632.0,0.0,0.0,purchase,,148632.0,29982.0,6498.0,744.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4.0,51163.833333333336,44665.833333333336,97468.16666666666
Rent,1168386.0,10,0.0,8.0,13.1,797874.0,0.0,0.0,needs,,308616.0,360392.0,35030.0,740.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4.0,97365.5,62335.5,211250.5
Rent,1140000.0,10,0.0,9.0,16.0,778448.0,0.0,0.0,needs,,462000.0,414808.0,19950.0,725.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2.0,95000.0,75050.0,367000.0
Home Mortgage,1631644.0,8,0.0,9.0,12.1,862422.0,0.0,0.0,other,,351670.0,155667.0,4773.0,718.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2.0,135970.33333333334,131197.33333333334,215699.66666666666
Home Mortgage,1435127.0,0,0.0,10.0,21.2,1643906.0,0.0,0.0,needs,,443124.0,782268.0,28487.0,674.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0,119593.91666666667,91106.91666666667,323530.0833333333
Own Home,1168386.0,10,0.0,17.0,32.5,2322650.0,0.0,0.0,other,,448184.0,136401.0,29320.0,740.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,4.0,97365.5,68045.5,350818.5
Rent,808298.0,5,0.0,12.0,15.7,632170.0,0.0,0.0,needs,,309573.0,251693.0,8622.0,746.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4.0,67358.16666666667,58736.16666666667,242214.8333333333
Rent,1164852.0,3,0.0,19.0,12.7,276540.0,0.0,0.0,needs,,175340.0,92663.0,12134.0,729.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3.0,97071.0,84937.0,78269.0
Rent,1168386.0,1,0.0,7.0,9.0,415250.0,0.0,0.0,needs,,174438.0,185402.0,7735.0,740.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.0,97365.5,89630.5,77072.5
Rent,985815.0,8,0.0,11.0,18.1,227876.0,3.0,3.0,needs,,108504.0,104899.0,10351.0,729.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3.0,82151.25,71800.25,26352.75
Rent,1168386.0,10,0.0,6.0,36.8,263934.0,0.0,0.0,needs,,111848.0,60173.0,16918.0,740.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4.0,97365.5,80447.5,14482.5
Home Mortgage,1112298.0,0,0.0,7.0,9.0,128788.0,0.0,0.0,entertainment,,128788.0,42921.0,15906.0,704.0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2.0,92691.5,76785.5,36096.5
Home Mortgage,1001357.0,6,0.0,6.0,16.5,655292.0,0.0,0.0,needs,,109384.0,294291.0,16606.0,745.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.0,83446.41666666667,66840.41666666667,25937.58333333333
Rent,1860290.0,3,0.0,18.0,16.4,1120218.0,0.0,0.0,other,,116314.0,697528.0,49298.0,749.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.0,155024.16666666666,105726.16666666666,-38710.16666666666
Home Mortgage,2539103.0,6,0.0,13.0,17.2,1211430.0,0.0,0.0,needs,,381106.0,636101.0,51205.0,742.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.0,211591.91666666666,160386.91666666666,169514.08333333334
Home Mortgage,1301614.0,9,0.0,17.0,18.0,9339924.0,0.0,0.0,needs,,592240.0,959899.0,16813.0,748.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4.0,108467.83333333333,91654.83333333333,483772.1666666667
Home Mortgage,1934884.0,5,0.0,9.0,18.0,769604.0,0.0,0.0,needs,,390258.0,429381.0,19188.0,745.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.0,161240.33333333334,142052.33333333334,229017.66666666666
Home Mortgage,1533566.0,7,0.0,11.0,14.8,715462.0,0.0,0.0,needs,,210826.0,285475.0,18147.0,744.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4.0,127797.16666666667,109650.16666666667,83028.83333333333
Home Mortgage,1375068.0,10,0.0,18.0,32.0,2672516.0,0.0,0.0,needs,,741774.0,678585.0,17991.0,729.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3.0,114589.0,96598.0,627185.0
Home Mortgage,1041675.0,10,0.0,13.0,19.4,551320.0,0.0,0.0,needs,,100144.0,167599.0,12648.0,737.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4.0,86806.25,74158.25,13337.75
Rent,1304141.0,10,0.0,6.0,12.9,176616.0,1.0,1.0,other,,176616.0,97546.0,14237.0,673.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0.0,108678.41666666667,94441.41666666667,67937.58333333333
Rent,601369.0,10,0.0,6.0,16.9,165924.0,0.0,0.0,needs,,165924.0,0.0,9021.0,738.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,4.0,50114.083333333336,41093.083333333336,115809.91666666666
Home Mortgage,1642075.0,10,0.0,12.0,12.9,384736.0,0.0,0.0,needs,,276562.0,275462.0,25863.0,653.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0.0,136839.58333333334,110976.58333333334,139722.41666666666
Home Mortgage,1168386.0,10,0.0,18.0,17.9,3028014.0,0.0,0.0,needs,,311168.0,2327443.0,55716.0,740.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,4.0,97365.5,41649.5,213802.5
Rent,1049294.0,3,0.0,5.0,6.1,337502.0,0.0,0.0,business,,337502.0,119529.0,15215.0,701.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2.0,87441.16666666667,72226.16666666667,250060.8333333333
Home Mortgage,805828.0,9,0.0,8.0,20.5,657360.0,0.0,0.0,needs,,199936.0,250933.0,13565.0,740.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4.0,67152.33333333333,53587.33333333333,132783.6666666667
Rent,757568.0,5,0.0,13.0,11.4,383548.0,0.0,0.0,needs,,210518.0,276583.0,11553.0,732.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3.0,63130.666666666664,51577.666666666664,147387.33333333334
Rent,840541.0,6,0.0,6.0,14.8,427372.0,0.0,0.0,business,,309573.0,1102.0,483.0,751.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-1.0,70045.08333333333,69562.08333333333,239527.9166666667
Rent,1242087.0,10,0.0,17.0,20.6,613954.0,1.0,1.0,needs,,196130.0,181336.0,16251.0,711.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2.0,103507.25,87256.25,92622.75
Rent,1168386.0,1,0.0,9.0,8.9,61358.0,0.0,0.0,entertainment,,32824.0,14041.0,7879.0,740.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.0,97365.5,89486.5,-64541.5
Own Home,337079.0,1,0.0,9.0,39.6,644204.0,0.0,0.0,educational expenses,,309573.0,224770.0,4326.0,734.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.0,28089.916666666668,23763.916666666668,281483.0833333333
Rent,960260.0,10,0.0,10.0,16.3,796312.0,0.0,0.0,other,,333564.0,320473.0,16645.0,617.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,-1.0,80021.66666666667,63376.66666666667,253542.3333333333
